Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,14.99333333,14.37075,14.05608333,14.43925,14.75475,14.85916667,14.426,14.904,15.1325,15.38875,15.49783333,15.77808333,15.53766667,14.916,15.77091667,14.98,15.59558333,15.10616667,15.2165,15.25775,15.82866667,15.518,14.48158333,16.533625
Albania,13.46866667,12.33883333,13.08466667,13.12258333,14.09966667,12.78208333,12.7365,12.90091667,13.31125,13.65375,13.74658333,13.69041667,13.55991667,13.62658333,13.25816667,12.74708333,12.97691667,13.8905,13.95516667,13.84425,13.77541667,13.44325,13.76825,14.993875
Algeria,24.01441667,23.01108333,22.767,23.45083333,23.64208333,23.7225,23.73433333,23.95516667,23.92058333,24.29941667,24.03225,24.72441667,24.263,24.39366667,23.916,24.22258333,24.20083333,24.06533333,23.95025,24.15433333,25.21566667,24.14416667,23.95483333,25.1215
Angola,22.46641667,22.09541667,22.49858333,22.291,22.18941667,22.93616667,22.47925,22.31716667,23.12016667,22.38208333,22.36066667,22.50291667,22.9255,23.06658333,22.57283333,22.96608333,21.94708333,22.42708333,22.28733333,22.3165,22.6815,22.02966667,22.12333333,22.507875
Antigua And Barbuda,26.93466667,26.89566667,26.89475,26.95616667,26.94608333,27.38033333,26.94233333,27.28933333,27.60175,27.13175,26.89208333,27.25383333,27.36175,27.51383333,27.15116667,27.59816667,27.46641667,27.50908333,26.96541667,27.27733333,27.73541667,27.29616667,27.4335,27.249625
Argentina,15.15508333,15.09758333,14.73916667,15.09866667,15.57866667,15.14983333,15.21158333,15.62066667,15.26175,15.06491667,14.7505,15.37041667,15.18375,15.51833333,15.44216667,15.11283333,15.56108333,14.62808333,15.476,15.53441667,15.07883333,15.33966667,15.689,14.457125
Armenia,9.258083333,9.372583333,7.614666667,7.769666667,9.02125,9.892166667,9.819166667,9.246333333,10.44841667,10.331,9.918166667,10.44341667,9.605,9.423083333,9.720166667,9.735416667,10.0535,9.53525,9.70675,9.842083333,11.5095,9.136,10.35075,11.34375
Aruba,28.24333333,28.34308333,28.49875,28.58916667,28.48225,28.73641667,28.47958333,28.76333333,28.9825,28.19791667,28.128,28.63091667,28.84925,28.84966667,28.506,28.77225,28.80466667,28.82283333,28.45025,28.832,28.96833333,28.51333333,28.65233333,28.54125
Australia,22.35575,22.48741667,21.93258333,22.16016667,22.03025,21.95516667,22.32533333,22.086,22.66483333,22.0645,21.70966667,21.79275,22.46083333,22.44033333,22.28691667,22.89683333,22.26441667,22.48675,22.22591667,22.69058333,22.07816667,21.767,22.0245,22.142875
Austria,7.344,6.357916667,7.615583333,6.858666667,8.164916667,6.8465,5.86325,7.025083333,7.22275,7.23425,8.084916667,7.188916667,7.91525,7.509333333,6.906083333,6.6095,7.277583333,7.9765,7.801916667,7.616,6.649083333,7.855583333,7.611333333,8.055125
